PhD,st_abbr,countyname,pollutant,revoked_naaqs,area_name,split,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,effec_rede,nonattain,class,part,population,fips_state,fips_cnty,pollorder,composid,exportdt
ALABAMA,AL,Colbert County,Sulfur Dioxide (1971),,"Colbert Co, AL",FALSE,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/15/93,,Secondary,P,54429,01,033,C,SO2.1978.Colbert_Co,4/30/22
ALABAMA,AL,Jackson County,PM-2.5 (1997),,"Chattanooga, TN-GA-AL",FALSE,,,,,,,,,,,,,,05,06,07,08,09,10,11,12,13,,,,,,,,,12/22/14,,Moderate,P,1760,01,071,e,PM-2.5.1997.Chattanooga,4/30/22
ALABAMA,AL,Jefferson County,1-Hour Ozone (1979),Revoked,"Birmingham, AL",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,4/12/04,,Marginal,W,658466,01,073,G,Ozone_1-hr.1990.Birmingham,4/30/22
ALABAMA,AL,Jefferson County,8-Hour Ozone (1997),Revoked,"Birmingham, AL",FALSE,,,,,,,,,,,,,04,05,,,,,,,,,,,,,,,,,6/12/06,,Former Subpart 1,W,658466,01,073,g,Ozone_8-hr.1997.Birmingham,4/30/22
ALABAMA,AL,Jefferson County,Lead (1978),,"Jefferson Co, AL",FALSE,92,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/7/95,,,P,658472,01,073,A,Lead.1992.Birmingham,4/30/22
ALABAMA,AL,Jefferson County,PM-2.5 (1997),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,05,06,07,08,09,10,11,12,,,,,,,,,,2/21/13,,Former Subpart 1,W,658466,01,073,g,PM-2.5.1997.Birmingham,4/30/22
ALABAMA,AL,Jefferson County,PM-2.5 (2006),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,,,,,,,,,,2/25/13,,Former Subpart 1,W,658466,01,073,g,PM-2.5.2006.Birmingham,4/30/22
ALABAMA,AL,Lauderdale County,Sulfur Dioxide (1971),,"Lauderdale Co, AL",FALSE,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/15/93,,Secondary,P,92707,01,077,C,SO2.1978.Lauderdale_Co,4/30/22
ALABAMA,AL,Pike County,Lead (2008),,"Troy, AL",FALSE,,,,,,,,,,,,,,,,,,,10,11,12,13,14,15,16,17,,,,,7/20/18,,,P,2275,01,109,A,Lead.2008.Troy,4/30/22
ALABAMA,AL,Shelby County,1-Hour Ozone (1979),Revoked,"Birmingham, AL",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,4/12/04,,Marginal,W,195085,01,117,G,Ozone_1-hr.1990.Birmingham,4/30/22
ALABAMA,AL,Shelby County,8-Hour Ozone (1997),Revoked,"Birmingham, AL",FALSE,,,,,,,,,,,,,04,05,,,,,,,,,,,,,,,,,6/12/06,,Former Subpart 1,W,195085,01,117,g,Ozone_8-hr.1997.Birmingham,4/30/22
ALABAMA,AL,Shelby County,PM-2.5 (1997),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,05,06,07,08,09,10,11,12,,,,,,,,,,2/21/13,,Former Subpart 1,W,195085,01,117,g,PM-2.5.1997.Birmingham,4/30/22
ALABAMA,AL,Shelby County,PM-2.5 (2006),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,,,,,,,,,,2/25/13,,Former Subpart 1,W,195085,01,117,g,PM-2.5.2006.Birmingham,4/30/22
ALABAMA,AL,Walker County,PM-2.5 (1997),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,05,06,07,08,09,10,11,12,,,,,,,,,,2/21/13,,Former Subpart 1,P,4129,01,127,g,PM-2.5.1997.Birmingham,4/30/22
ALABAMA,AL,Walker County,PM-2.5 (2006),,"Birmingham, AL",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,,,,,,,,,,2/25/13,,Former Subpart 1,P,4129,01,127,g,PM-2.5.2006.Birmingham,4/30/22
ALASKA,AK,Anchorage Municipality,Carbon Monoxide (1971),,"Anchorage, AK",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,7/23/04,,Serious,P,286227,02,020,A,CO.1990.Anchorage,4/30/22
ALASKA,AK,Anchorage Municipality,PM-10 (1987),,"Eagle River, AK",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,,,,,,,,,,3/8/13,,Moderate,P,219193,02,020,B,PM-10.1990.Anchorage,4/30/22
ALASKA,AK,Fairbanks North Star Borough,Carbon Monoxide (1971),,"Fairbanks, AK",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,9/27/04,,Serious,P,46211,02,090,A,CO.1990.Fairbanks,4/30/22
